Tiempo	D_NTA	Pres_NTA D_HTA	P_HTA
% [s]	[mm]	[mmHg]	[mm]	[mmHg]
0	5.8562	64.5491	6.549	78.301
0.0022	5.85715	65.0413	6.550	79.237
0.0044	5.85811	65.2665	6.551	79.664
0.0066	5.85906	65.9131	6.551	80.893
0.0088	5.86001	66.5152	6.552	82.037
0.011	5.86097	67.2092	6.553	83.356
0.0132	5.86203	68.1422	6.553	85.128
0.0154	5.8649	69.3234	6.555	87.372
0.0176	5.86776	70.6497	6.557	89.892
0.0198	5.87063	71.9496	6.560	92.362
0.022	5.87349	73.4533	6.562	95.219
0.0242	5.87636	75.0813	6.564	98.313
0.0264	5.87943	76.6884	6.566	101.366
0.0286	5.88406	78.4154	6.569	104.647
0.0308	5.8887	80.0877	6.572	107.825
0.033	5.89333	81.8128	6.575	111.102
0.0352	5.89796	83.5495	6.579	114.402
0.0374	5.9026	85.3914	6.582	117.902
0.0396	5.90748	87.1728	6.585	121.286
0.0418	5.91353	89.0392	6.590	124.833
0.044	5.91959	90.7286	6.594	128.042
0.0462	5.92564	92.4521	6.598	131.317
0.0484	5.93169	94.1508	6.602	134.545
0.0506	5.93775	95.8209	6.606	137.718
0.0528	5.94402	97.3124	6.611	140.552
0.055	5.95103	98.8273	6.616	143.430
0.0572	5.95804	100.281	6.621	146.192
0.0594	5.96505	101.737	6.626	148.958
0.0616	5.97205	103.062	6.630	151.476
0.0638	5.97906	104.455	6.635	154.123
0.066	5.98621	105.736	6.640	156.556
0.0682	5.99369	107.103	6.646	159.154
0.0704	6.00117	108.309	6.651	161.445
0.0726	6.00866	109.297	6.656	163.322
0.0748	6.01614	110.455	6.661	165.523
0.077	6.02362	111.379	6.667	167.278
0.0792	6.03114	112.37	6.672	169.161
0.0814	6.03872	113.404	6.677	171.126
0.0836	6.0463	114.123	6.682	172.492
0.0858	6.05388	114.935	6.688	174.035
0.088	6.06146	115.664	6.693	175.420
0.0902	6.06904	116.374	6.698	176.769
0.0924	6.07657	116.997	6.704	177.952
0.0946	6.08401	117.481	6.709	178.872
0.0968	6.09146	117.997	6.714	179.852
0.099	6.0989	118.444	6.719	180.702
0.1012	6.10635	118.906	6.725	181.579
0.1034	6.11379	119.144	6.730	182.032
0.1056	6.12108	119.568	6.735	182.837
0.1078	6.12819	119.779	6.740	183.238
0.11	6.13529	120.042	6.745	183.738
0.1122	6.1424	120.315	6.750	184.257
0.1144	6.14951	120.486	6.755	184.581
0.1166	6.15661	120.553	6.760	184.709
0.1188	6.16345	120.996	6.764	185.550
0.121	6.17004	121.202	6.769	185.942
0.1232	6.17663	121.347	6.774	186.217
0.1254	6.18322	121.588	6.778	186.675
0.1276	6.18981	121.965	6.783	187.392
0.1298	6.19639	122.115	6.788	187.677
0.132	6.20258	122.315	6.792	188.057
0.1342	6.20848	122.37	6.796	188.161
0.1364	6.21438	122.58	6.800	188.560
0.1386	6.22028	122.64	6.804	188.674
0.1408	6.22618	122.991	6.808	189.341
0.143	6.23208	123.138	6.813	189.620
0.1452	6.23745	123.517	6.816	190.340
0.1474	6.24254	123.678	6.820	190.646
0.1496	6.24762	123.944	6.823	191.152
0.1518	6.2527	124.16	6.827	191.562
0.154	6.25779	124.358	6.831	191.938
0.1562	6.26287	124.449	6.834	192.111
0.1584	6.26739	124.541	6.837	192.286
0.1606	6.27168	124.653	6.840	192.499
0.1628	6.27596	124.775	6.843	192.731
0.165	6.28024	124.987	6.846	193.133
0.1672	6.28452	125.052	6.849	193.257
0.1694	6.28881	124.849	6.852	192.871
0.1716	6.29254	125.145	6.855	193.434
0.1738	6.2961	125.259	6.857	193.650
0.176	6.29966	125.255	6.860	193.643
0.1782	6.30322	125.327	6.862	193.779
0.1804	6.30678	125.427	6.865	193.969
0.1826	6.31034	125.531	6.867	194.167
0.1848	6.31341	125.867	6.869	194.805
0.187	6.31637	126.027	6.872	195.109
0.1892	6.31932	126.188	6.874	195.415
0.1914	6.32228	126.332	6.876	195.689
0.1936	6.32524	126.552	6.878	196.107
0.1958	6.3282	126.546	6.880	196.095
0.198	6.33075	126.773	6.882	196.527
0.2002	6.33324	126.747	6.883	196.477
0.2024	6.33573	126.986	6.885	196.931
0.2046	6.33822	127.047	6.887	197.047
0.2068	6.34072	127.058	6.889	197.068
0.209	6.34321	127.118	6.890	197.182
0.2112	6.34538	126.936	6.892	196.836
0.2134	6.34752	126.825	6.893	196.626
0.2156	6.34967	126.472	6.895	195.955
0.2178	6.35182	126.279	6.896	195.588
0.22	6.35396	125.694	6.898	194.477
0.2222	6.35611	125.428	6.899	193.971
0.2244	6.35788	125.087	6.901	193.323
0.2266	6.35965	124.61	6.902	192.417
0.2288	6.36142	124.194	6.903	191.627
0.231	6.36319	123.664	6.904	190.620
0.2332	6.36495	123.086	6.906	189.521
0.2354	6.3667	122.426	6.907	188.267
0.2376	6.36804	121.987	6.908	187.433
0.2398	6.36938	121.441	6.909	186.396
0.242	6.37072	120.922	6.910	185.410
0.2442	6.37206	120.189	6.911	184.017
0.2464	6.3734	119.759	6.911	183.200
0.2486	6.37469	119.001	6.912	181.760
0.2508	6.37552	118.285	6.913	180.400
0.253	6.37635	117.731	6.914	179.347
0.2552	6.37718	117.03	6.914	178.015
0.2574	6.37801	116.438	6.915	176.890
0.2596	6.37883	115.668	6.915	175.427
0.2618	6.37956	114.847	6.916	173.867
0.264	6.37977	114.002	6.916	172.262
0.2662	6.37998	113.28	6.916	170.890
0.2684	6.3802	112.408	6.916	169.233
0.2706	6.38041	111.488	6.916	167.485
0.2728	6.38062	110.507	6.916	165.621
0.275	6.38067	109.59	6.917	163.879
0.2772	6.38016	108.669	6.916	162.129
0.2794	6.37964	107.763	6.916	160.408
0.2816	6.37913	106.821	6.915	158.618
0.2838	6.37861	105.938	6.915	156.940
0.286	6.3781	105.133	6.915	155.411
0.2882	6.3774	104.27	6.914	153.771
0.2904	6.37619	103.441	6.913	152.196
0.2926	6.37499	102.611	6.913	150.619
0.2948	6.37379	101.779	6.912	149.038
0.297	6.37259	101.138	6.911	147.820
0.2992	6.37139	100.352	6.910	146.327
0.3014	6.36998	99.5761	6.909	144.853
0.3036	6.36817	98.937	6.908	143.638
0.3058	6.36636	98.3943	6.907	142.607
0.308	6.36455	97.794	6.905	141.467
0.3102	6.36274	97.1757	6.904	140.292
0.3124	6.36093	96.7513	6.903	139.486
0.3146	6.35895	96.2931	6.901	138.615
0.3168	6.3567	95.7981	6.900	137.674
0.319	6.35446	95.4324	6.898	136.980
0.3212	6.35221	95.2145	6.897	136.566
0.3234	6.34997	94.8475	6.895	135.868
0.3256	6.34772	94.6041	6.893	135.406
0.3278	6.34538	94.5466	6.892	135.297
0.33	6.34291	94.3711	6.890	134.963
0.3322	6.34044	94.2217	6.888	134.679
0.3344	6.33797	94.181	6.887	134.602
0.3366	6.33549	94.0485	6.885	134.350
0.3388	6.33302	94.1165	6.883	134.479
0.341	6.33055	94.09	6.881	134.429
0.3432	6.32808	94.0206	6.880	134.297
0.3454	6.32561	94.0911	6.878	134.431
0.3476	6.32314	94.1137	6.876	134.474
0.3498	6.32067	93.9907	6.875	134.240
0.352	6.3182	94.0396	6.873	134.333
0.3542	6.31581	94.017	6.871	134.290
0.3564	6.31348	93.91	6.869	134.087
0.3586	6.31115	93.8717	6.868	134.014
0.3608	6.30882	93.815	6.866	133.907
0.363	6.30649	93.686	6.865	133.661
0.3652	6.30415	93.6217	6.863	133.539
0.3674	6.30197	93.6327	6.861	133.560
0.3696	6.29988	93.4197	6.860	133.155
0.3718	6.29779	93.3471	6.859	133.018
0.374	6.2957	93.3025	6.857	132.933
0.3762	6.29361	92.9485	6.856	132.260
0.3784	6.29152	92.9294	6.854	132.224
0.3806	6.28958	92.8329	6.853	132.041
0.3828	6.28772	92.656	6.851	131.704
0.385	6.28586	92.5809	6.850	131.562
0.3872	6.28399	92.4869	6.849	131.383
0.3894	6.28213	92.492	6.848	131.393
0.3916	6.28027	92.3565	6.846	131.135
0.3938	6.27853	92.3268	6.845	131.079
0.396	6.27685	91.9882	6.844	130.436
0.3982	6.27516	91.891	6.843	130.251
0.4004	6.27347	91.847	6.841	130.167
0.4026	6.27178	91.6169	6.840	129.730
0.4048	6.2701	91.4134	6.839	129.343
0.407	6.26849	91.3692	6.838	129.260
0.4092	6.26691	91.1423	6.837	128.828
0.4114	6.26532	91.117	6.836	128.780
0.4136	6.26374	90.9292	6.835	128.424
0.4158	6.26216	90.7284	6.834	128.042
0.418	6.26057	90.6393	6.832	127.873
0.4202	6.25902	90.6325	6.831	127.860
0.4224	6.25748	90.4001	6.830	127.418
0.4246	6.25593	90.2523	6.829	127.137
0.4268	6.25439	90.1161	6.828	126.879
0.429	6.25284	89.997	6.827	126.652
0.4312	6.2513	89.8421	6.826	126.358
0.4334	6.24973	89.8079	6.825	126.293
0.4356	6.24815	89.5774	6.824	125.855
0.4378	6.24657	89.6249	6.823	125.945
0.44	6.245	89.547	6.822	125.797
0.4422	6.24342	89.6291	6.820	125.953
0.4444	6.24185	89.6884	6.819	126.066
0.4466	6.24025	89.837	6.818	126.348
0.4488	6.23865	89.9761	6.817	126.613
0.451	6.23705	90.0794	6.816	126.809
0.4532	6.23545	90.225	6.815	127.086
0.4554	6.23385	90.4112	6.814	127.439
0.4576	6.23224	90.6045	6.813	127.807
0.4598	6.23065	90.9204	6.812	128.407
0.462	6.22905	91.0054	6.810	128.568
0.4642	6.22746	91.3562	6.809	129.235
0.4664	6.22586	91.5115	6.808	129.530
0.4686	6.22426	91.8791	6.807	130.228
0.4708	6.22267	91.9279	6.806	130.321
0.473	6.22111	92.177	6.805	130.794
0.4752	6.21954	92.3832	6.804	131.186
0.4774	6.21798	92.3917	6.803	131.202
0.4796	6.21642	92.4442	6.802	131.302
0.4818	6.21486	92.5134	6.800	131.433
0.484	6.21331	92.4155	6.799	131.247
0.4862	6.21183	92.4564	6.798	131.325
0.4884	6.21035	92.3807	6.797	131.181
0.4906	6.20887	92.3647	6.796	131.151
0.4928	6.20738	92.276	6.795	130.982
0.495	6.2059	92.2878	6.794	131.005
0.4972	6.20445	92.1921	6.793	130.823
0.4994	6.20309	92.0956	6.792	130.640
0.5016	6.20173	91.9352	6.791	130.335
0.5038	6.20038	91.8747	6.790	130.220
0.506	6.19902	91.5923	6.789	129.683
0.5082	6.19766	91.45	6.788	129.413
0.5104	6.19634	91.2927	6.788	129.114
0.5126	6.1951	91.223	6.787	128.982
0.5148	6.19386	91.038	6.786	128.630
0.517	6.19262	90.9684	6.785	128.498
0.5192	6.19138	90.9501	6.784	128.463
0.5214	6.19014	90.8211	6.783	128.218
0.5236	6.18893	90.8959	6.782	128.360
0.5258	6.1878	90.8518	6.782	128.276
0.528	6.18667	90.7588	6.781	128.100
0.5302	6.18554	90.8751	6.780	128.321
0.5324	6.1844	90.8844	6.779	128.338
0.5346	6.18327	90.8548	6.778	128.282
0.5368	6.18218	90.8646	6.778	128.301
0.539	6.18117	90.9686	6.777	128.498
0.5412	6.18015	90.9362	6.776	128.437
0.5434	6.17914	90.9411	6.775	128.446
0.5456	6.17812	90.8394	6.775	128.253
0.5478	6.17711	90.7377	6.774	128.060
0.55	6.17613	90.6729	6.773	127.937
0.5522	6.1752	90.6054	6.773	127.808
0.5544	6.17427	90.4743	6.772	127.559
0.5566	6.17334	90.1758	6.771	126.992
0.5588	6.17241	90.1185	6.771	126.883
0.561	6.17148	89.9143	6.770	126.495
0.5632	6.17058	89.8311	6.769	126.337
0.5654	6.16971	89.3056	6.769	125.339
0.5676	6.16885	88.8848	6.768	124.539
0.5698	6.16798	88.6874	6.768	124.164
0.572	6.16711	88.2958	6.767	123.420
0.5742	6.16625	87.8599	6.766	122.592
0.5764	6.16541	87.4466	6.766	121.807
0.5786	6.1646	87.1354	6.765	121.215
0.5808	6.16379	86.7127	6.765	120.412
0.583	6.16297	86.3612	6.764	119.744
0.5852	6.16216	85.8988	6.764	118.866
0.5874	6.16135	85.5003	6.763	118.109
0.5896	6.16056	85.1233	6.762	117.392
0.5918	6.15978	84.8808	6.762	116.932
0.594	6.159	84.6886	6.761	116.566
0.5962	6.15822	84.3816	6.761	115.983
0.5984	6.15744	84.0271	6.760	115.310
0.6006	6.15666	83.9897	6.760	115.238
0.6028	6.15586	83.6502	6.759	114.593
0.605	6.15505	83.5678	6.759	114.437
0.6072	6.15424	83.4734	6.758	114.257
0.6094	6.15342	83.3965	6.757	114.111
0.6116	6.15261	83.2901	6.757	113.909
0.6138	6.1518	83.2086	6.756	113.754
0.616	6.15094	83.1654	6.756	113.672
0.6182	6.15007	83.0373	6.755	113.429
0.6204	6.1492	82.9082	6.755	113.184
0.6226	6.14833	82.8991	6.754	113.166
0.6248	6.14746	82.7365	6.753	112.857
0.627	6.14659	82.625	6.753	112.646
0.6292	6.14566	82.3811	6.752	112.182
0.6314	6.14471	82.2076	6.751	111.852
0.6336	6.14376	81.9192	6.751	111.305
0.6358	6.14282	81.872	6.750	111.215
0.638	6.14187	81.6233	6.749	110.742
0.6402	6.14092	81.5557	6.749	110.614
0.6424	6.1399	81.4125	6.748	110.342
0.6446	6.13886	81.3741	6.747	110.269
0.6468	6.13782	81.2231	6.747	109.982
0.649	6.13679	81.0002	6.746	109.558
0.6512	6.13575	80.842	6.745	109.258
0.6534	6.13472	80.7068	6.744	109.001
0.6556	6.13361	80.4907	6.744	108.590
0.6578	6.13249	80.216	6.743	108.068
0.66	6.13137	80.0146	6.742	107.686
0.6622	6.13025	79.7462	6.741	107.176
0.6644	6.12913	79.5716	6.740	106.844
0.6666	6.12801	79.4569	6.740	106.626
0.6688	6.12684	79.2262	6.739	106.188
0.671	6.12566	79.0035	6.738	105.765
0.6732	6.12449	78.9554	6.737	105.673
0.6754	6.12332	78.9799	6.736	105.720
0.6776	6.12214	78.902	6.736	105.572
0.6798	6.12097	78.8717	6.735	105.514
0.682	6.11973	78.9087	6.734	105.585
0.6842	6.11848	78.8355	6.733	105.445
0.6864	6.11724	78.7123	6.732	105.211
0.6886	6.116	78.8472	6.731	105.468
0.6908	6.11476	78.6195	6.730	105.035
0.693	6.11351	78.5908	6.730	104.981
0.6952	6.11217	78.5407	6.729	104.885
0.6974	6.11084	78.48	6.728	104.770
0.6996	6.1095	78.3235	6.727	104.473
0.7018	6.10817	78.2276	6.726	104.290
0.704	6.10684	78.1136	6.725	104.074
0.7062	6.10549	77.9345	6.724	103.734
0.7084	6.10404	77.8298	6.723	103.535
0.7106	6.10259	77.5823	6.722	103.064
0.7128	6.10114	77.4228	6.721	102.761
0.715	6.0997	77.304	6.720	102.536
0.7172	6.09825	77.1463	6.719	102.236
0.7194	6.09678	77.0036	6.718	101.965
0.7216	6.0952	76.8178	6.717	101.612
0.7238	6.09362	76.6239	6.716	101.243
0.726	6.09204	76.5038	6.714	101.015
0.7282	6.09046	76.2133	6.713	100.463
0.7304	6.08888	76.0798	6.712	100.210
0.7326	6.08727	76.0198	6.711	100.096
